timestamp,leg_left_hip_roll_joint,leg_left_hip_yaw_joint,leg_left_hip_pitch_joint,leg_left_knee_pitch_joint,leg_left_ankle_pitch_joint,leg_left_ankle_roll_joint,leg_right_hip_roll_joint,leg_right_hip_yaw_joint,leg_right_hip_pitch_joint,leg_right_knee_pitch_joint,leg_right_ankle_pitch_joint,leg_right_ankle_roll_joint
1764303141.595785,0.4161841571331024,0.48155543208122253,-0.458156019449234,0.6922842264175415,-1.1445016860961914,-0.6736131906509399,-1.1650134325027466,-0.04029209539294243,-0.7229451537132263,2.157073974609375,-0.6931082010269165,0.2710641920566559
1764303141.6485283,0.4486963748931885,0.3475945293903351,-0.34918293356895447,0.7365434169769287,-0.7734024524688721,0.06912720203399658,-0.41261422634124756,-0.132736474275589,-0.24527882039546967,0.9617387652397156,-0.7744775414466858,-0.09538813680410385
1764303141.690744,0.20331329107284546,0.21277335286140442,-0.24197238683700562,0.9641779065132141,-0.9128064513206482,0.15912532806396484,-0.1640193611383438,-0.18710669875144958,-0.3974255621433258,0.6508642435073853,-0.8058751225471497,-0.06073445826768875
1764303141.7325814,0.18946054577827454,0.1480252891778946,-0.382398784160614,1.009610891342163,-0.5152515172958374,0.10248558968305588,-0.14607354998588562,-0.06945537030696869,-0.3724110424518585,0.5255903005599976,-0.4089895486831665,0.10799091309309006
1764303141.7748353,0.18140557408332825,-0.06593399494886398,-0.5056440830230713,0.5472856163978577,-0.5452908873558044,-0.17350299656391144,-0.13952048122882843,0.15335199236869812,-0.5117028951644897,0.46406179666519165,-0.5821360945701599,-0.00046665966510772705
1764303141.816898,0.08021757751703262,0.06492902338504791,-0.30578839778900146,0.7998194694519043,-0.39586618542671204,0.05589448660612106,-0.11220899224281311,-0.07623861730098724,-0.30013737082481384,0.8524293899536133,-0.38107436895370483,-0.05611465871334076
1764303141.8585014,0.08225244283676147,0.0834471583366394,-0.1887863576412201,0.8621520400047302,-0.439452201128006,0.1431417614221573,-0.09571348130702972,-0.03057246096432209,-0.26350677013397217,1.0988417863845825,-0.23197698593139648,-0.06043247878551483
1764303141.8989644,0.14418482780456543,0.15405845642089844,-0.25081974267959595,0.7700225114822388,-0.48847824335098267,0.15172085165977478,-0.09196215867996216,0.023381464183330536,-0.4869537353515625,1.202353835105896,-0.3538416028022766,-0.032277703285217285
1764303141.939355,0.17941686511039734,0.1849173903465271,-0.399106502532959,0.9534326791763306,-0.5211600065231323,0.1431378424167633,-0.12011465430259705,-0.0028390251100063324,-0.5814395546913147,1.0364713668823242,-0.642453670501709,0.038763560354709625
1764303141.9797952,0.14715729653835297,0.10482653975486755,-0.4356827139854431,1.0840266942977905,-0.6052815914154053,0.15444572269916534,-0.09783083200454712,-0.008975638076663017,-0.4679940342903137,0.8180770874023438,-0.49429625272750854,0.06702632457017899
1764303142.0202384,0.11692915856838226,0.0785716101527214,-0.3701157569885254,1.0211639404296875,-0.5809788703918457,0.08709655702114105,-0.1427091807126999,-0.05051485449075699,-0.3985513150691986,0.7796761393547058,-0.46014395356178284,-0.016437551006674767
1764303142.0607595,0.12560230493545532,0.09375740587711334,-0.40660011768341064,0.898674726486206,-0.671015739440918,-0.02673816867172718,-0.11513352394104004,-0.05129801109433174,-0.4425908327102661,0.8403841257095337,-0.5815863013267517,-0.08340361714363098
1764303142.1012874,0.12799392640590668,0.10746961832046509,-0.41429615020751953,0.9379324316978455,-0.6692405939102173,0.04731139540672302,-0.10476785898208618,-0.03869173675775528,-0.43543118238449097,0.8898227214813232,-0.5418216586112976,-0.038863517343997955
1764303142.1417117,0.1290411353111267,0.11173957586288452,-0.40397992730140686,0.9579389095306396,-0.65114426612854,0.07952742278575897,-0.10299518704414368,-0.03109976463019848,-0.43413352966308594,0.8885305523872375,-0.5188348293304443,-0.031230146065354347
1764303142.1821136,0.12267369031906128,0.11133673042058945,-0.39215075969696045,0.963278591632843,-0.6433237791061401,0.0864981859922409,-0.10849347710609436,-0.03433524817228317,-0.4318429231643677,0.8763532638549805,-0.5060763359069824,-0.0397830456495285
1764303142.222514,0.11232824623584747,0.10941383242607117,-0.37820112705230713,0.9706241488456726,-0.6398022770881653,0.07741878926753998,-0.11252577602863312,-0.03944670408964157,-0.4279974699020386,0.8788799047470093,-0.49801522493362427,-0.05064859241247177
1764303142.2629097,0.10605241358280182,0.10399125516414642,-0.3769833445549011,0.9688047170639038,-0.6375415325164795,0.062115639448165894,-0.11190001666545868,-0.03820039704442024,-0.428530216217041,0.8931453824043274,-0.5031582713127136,-0.05178045481443405
1764303142.303376,0.1069115400314331,0.10230586677789688,-0.3816184401512146,0.9629925489425659,-0.6338364481925964,0.05989466607570648,-0.10831382870674133,-0.033965080976486206,-0.4282522201538086,0.9036413431167603,-0.5061798691749573,-0.04372290521860123
1764303142.3438234,0.11051890254020691,0.10381289571523666,-0.3862228989601135,0.9587670564651489,-0.6334584951400757,0.06797448545694351,-0.10738229751586914,-0.03257006034255028,-0.42907679080963135,0.8994009494781494,-0.5051408410072327,-0.03781601041555405
1764303142.3842385,0.11114231497049332,0.10611975938081741,-0.38543790578842163,0.9589583277702332,-0.6319646835327148,0.07667766511440277,-0.10867348313331604,-0.03258437290787697,-0.43046045303344727,0.8951215744018555,-0.5025366544723511,-0.03912198543548584
1764303142.4246345,0.10883335769176483,0.10630536079406738,-0.3831031024456024,0.9619234800338745,-0.6324025392532349,0.07948888093233109,-0.11111225187778473,-0.03390608727931976,-0.43113648891448975,0.890899658203125,-0.49974000453948975,-0.04293369501829147
1764303142.4650793,0.10508066415786743,0.10448774695396423,-0.3813289403915405,0.9645209908485413,-0.6337441802024841,0.07590454071760178,-0.11278460919857025,-0.034701067954301834,-0.43182867765426636,0.8905346393585205,-0.4993106424808502,-0.04649769514799118
1764303142.50556,0.1024952381849289,0.10279877483844757,-0.3812396824359894,0.9650328159332275,-0.633831262588501,0.07117139548063278,-0.11263559758663177,-0.033766135573387146,-0.4328598082065582,0.8954901695251465,-0.5011749863624573,-0.047226615250110626
1764303142.54599,0.10235907137393951,0.10237006843090057,-0.3823980391025543,0.9647576212882996,-0.6326814889907837,0.07036004215478897,-0.11214864253997803,-0.03219795972108841,-0.43301600217819214,0.899266242980957,-0.5016674995422363,-0.04504220187664032
1764303142.586408,0.10322216153144836,0.10272050648927689,-0.3836028277873993,0.9643107652664185,-0.6319730281829834,0.07265380024909973,-0.11248655617237091,-0.03130578622221947,-0.4330984950065613,0.8988109827041626,-0.5011038780212402,-0.04323878139257431
1764303142.6269414,0.10339473187923431,0.10308320075273514,-0.38384386897087097,0.9645147919654846,-0.6318899989128113,0.07514780014753342,-0.11342784762382507,-0.031086832284927368,-0.43357518315315247,0.8968831300735474,-0.5004514455795288,-0.04337380826473236
